RECIPEID,VER,TREADCODE,RELEASE_TIME,HISTORY_PDATE,USERNAME,COMMENTS,RELEASED,RESYNCED,STATFLAG,BAFFACTOR,PMDFACTOR,BAFFACTOR_TG,PMDFACTOR_TG,PRIMARYLIMITSETID,CPKLIMITSETID,AUDITLIMITSETID,ART10,VAR,DESCRIPTION,TIRESIZE,TRADE_NAME,CUSTOMERCODE,PASSQC,CUSTOMERDESC,BRAND,PLY,PLYMAT,TGROUP,TSUBGROUP,WEIGHT,WIDTH,AR,RD,LI,SS,LR,SSR,LOAD,RW,INFLATION,CONBIAS,STBT_CW,STBT_CCW,UPDATE_LIMIT,LSID_T1,LSID_T2,LSID_T3,RFPP_T1,RFPP_T2,RFPP_T3,RFH1_T1,RFH1_T2,RFH1_T3,RFH2_T1,RFH2_T2,RFH2_T3,LFPP_T1,LFPP_T2,LFPP_T3,LFH1_T1,LFH1_T2,LFH1_T3,LFH2_T1,LFH2_T2,LFH2_T3,CONU_T1,CONU_T2,CONU_T3,CONL_T1,CONL_T2,CONL_T3,CONP_T1,CONP_T2,CONP_T3,CONN_T1,CONN_T2,CONN_T3,PLYU_T1,PLYU_T2,PLYU_T3,PLYL_T1,PLYL_T2,PLYL_T3,TG_RIMWIDTH,TG_BEATSEATWIDTH,TG_POPINFL,TG_POPINFLDWELLTIME,TG_INFL,TG_INFL2,TG_BUL_STBT,TG_TRACKS,RROM_T1,RROM_T2,RROM_T3,RROH1_T1,RROH1_T2,RROH1_T3,RROH2_T1,RROH2_T2,RROH2_T3,LROM_T1,LROM_T2,LROM_T3,LROH1_T1,LROH1_T2,LROH1_T3,BULS_T1,BULS_T2,BULS_T3,DEPS_T1,DEPS_T2,DEPS_T3,TB_RIMWIDTH,TB_ADAPTERRW,TB_SEALRW,TB_INFL,TB_POPINFL,TB_POPINFLDWELLTIME,TB_PREFSTATLIMIT,TB_WEIGHT,WPS_PROVIDEDWEIGHT,TBALW_T1,TBALW_T2,TBALW_T3,BBALW_T1,BBALW_T2,BBALW_T3,SBALW_T1,SBALW_T2,SBALW_T3,SBALPC_T1,SBALPC_T2,SBALPC_T3,SBAL_T1,SBAL_T2,SBAL_T3,DESCRIPTION2
186831,17,:GGGG,28/Feb/2026 12:09:31,,kun huang,,1,1,1,7,,,,94876,94876,94876,0311163053,0,245/45 R 19 V MaxContact MC6,245/45 R 19,MaxContact MC6 ,053,2,Chang An,C,2,POLYESTER,01,001,12033,245.00 mm,45,19,98,V,,0,5000,8.00,200000,0,3,3,28/Feb/2026 12:08:08,440108,440109,440110,100,115,125,80,80,95,0,0,0,80,80,80,0,0,0,0,0,0,40,40,95,-40,-40,-95,-40,-75,-95,-40,-75,-95,9980,9980,9980,1,1,1,,,400000,,400000,,,107,1,1,1.5,0,0,0,0,0,0,1,1.3,1.6,1,1,1.3,0.7,0.7,1.3,0.8,0.8,1.3,8.000016,,7.500015,200000,400000,1,1,,0,50,60,80,50,60,80,996,997,998,0.5,0.5,0.7,9.8,9.8,9.8,245/45 R 19 V MaxContact MC6
186832,106,:GGGG,28/Feb/2026 12:09:32,,kun huang,,1,1,1,7,,,,338956,338956,338956,0311163079,0,245/45 R 19 V MaxContact MC6,245/45 R 19,MaxContact MC6 ,079,2,BYD,C,2,POLYESTER,01,001,12033,245.00 mm,45,19,98,V,,0,5000,8.00,200000,0,3,3,28/Feb/2026 12:08:08,440112,440113,440114,100,115,125,80,80,95,0,0,0,80,80,80,0,0,0,0,0,0,40,40,95,-40,-40,-95,-40,-75,-95,-40,-75,-95,9980,9980,9980,1,1,1,,,400000,,400000,,,107,1,1,1.5,0,0,0,0,0,0,1,1.3,1.6,1,1,1.3,0.8,0.8,1.3,0.8,0.8,0.9,8.000016,,7.500015,200000,400000,1,1,,0,50,60,80,50,60,80,996,997,998,0.5,0.5,0.7,9.8,9.8,9.8,245/45 R 19 V MaxContact MC6
184772,52,:LO,28/Feb/2026 11:37:39,,kun huang,,1,1,1,7,,,,15456,15456,15456,0311164000,0,245/50 R 18 V UltraContact UC6 ,245/50 R 18,UltraContact UC6 ,000,3,Replacement,C,0,,01,001,11706,245.00 MM,50,18,100,V,,0,5600,7.50,200000,,3,2,28/Feb/2026 11:23:50,430816,430817,430818,105,105,125,75,75,95,9960,9970,9980,80,80,85,0,0,0,0,0,0,95,95,105,-95,-95,-105,0,0,0,0,0,0,960,970,980,1,1,1,,,400000,,400000,,,107,0.9,1.1,1.4,0,0,0,0,0,0,1.3,1.5,1.8,0.9,1,1.3,0.8,0.8,0.8,0.8,0.8,0.8,7.500015,,7.500015,200000,300000,1,1,,,60,60,70,60,60,70,996,997,998,0.6,0.6,0.8,9.8,9.8,9.8,245/50 R 18 V UltraContact UC6 
186833,18,:WWAA,28/Feb/2026 12:09:32,,kun huang,,1,1,1,7,,,,94876,94876,94876,0311168053,0,265/45 R 21 V MaxContact MC6,265/45 R 21,MaxContact MC6 ,053,2,Chang An,C,2,POLYESTER,01,001,15139,265.00 mm,45,21,108,V,,0,5600,9.00,200000,,2,3,28/Feb/2026 12:08:08,440116,440117,440118,110,110,125,80,80,95,0,0,0,100,100,100,0,0,0,0,0,0,50,50,95,-50,-50,-95,0,0,-75,0,0,-75,9980,9980,9980,1,1,1,,,400000,,400000,,,107,1,1,1.1,0,0,0,0,0,0,1,1,1.3,1,1,1.3,0.7,0.7,1,0.8,0.8,1.4,9.000018,,9.000018,200000,400000,3,2,,0,60,60,80,60,60,80,68.2,68.2,78,996,997,998,0.3,0.3,0.3,265/45 R 21 V MaxContact MC6
184773,49,:WGOP,28/Feb/2026 11:37:39,,kun huang,,1,1,1,7,,,,7802,7802,7802,0311174000,0,235/45 R 18 V EcoContact 6 ,235/45 R 18,EcoContact 6 ,000,3,Replacement,C,2,POLYESTER,01,001,10181,235.00 mm,45,18,94,V,,0,5000,8.00,200000,,3,2,28/Feb/2026 11:23:50,430832,430833,430834,105,105,125,75,75,95,9960,9970,9980,80,80,85,0,0,0,0,0,0,95,95,105,-95,-95,-105,0,0,0,0,0,0,960,970,980,1,1,1,,,400000,,400000,,,107,0.9,1.1,1.4,0,0,0,0,0,0,1.3,1.5,1.8,0.9,1,1.3,0.8,0.8,0.8,0.8,0.8,0.8,8.000016,,7.500015,200000,300000,1,1,,0,50,50,60,50,50,60,996,997,998,0.6,0.6,0.8,9.8,9.8,9.8,235/45 R 18 V EcoContact 6 
186834,37,:WGOP,28/Feb/2026 12:09:33,,kun huang,,1,1,1,7,,,,385700,385700,385700,0311174039,0,235/45 R 18 V EcoContact 6,235/45 R 18,EcoContact 6 ,039,2,Volkswagen PKW,C,2,POLYESTER,01,001,10181,235.00 mm,45,18,94,V,,0,5000,7.50,200000,,4,4,28/Feb/2026 12:08:08,440120,440121,440122,95,105,125,60,75,95,35,60,60,65,65,80,0,0,0,0,0,0,40,95,95,-40,-95,-95,0,0,0,0,0,0,9980,9980,9980,1,1,1,,,400000,,400000,,,107,0.8,0.8,2,0,0,0,0,0,0,0.9,0.9,2,1,1,1.3,0.8,0.8,1,0.6,0.6,2,7.500015,,7.500015,200000,400000,1,1,,0,40,40,70,40,40,70,996,997,998,0.4,0.4,0.6,9.8,9.8,9.8,235/45 R 18 V EcoContact 6
184774,54,:LL,28/Feb/2026 11:37:40,,kun huang,,1,1,1,7,,,,15456,15456,15456,0311175000,0,225/50 R 18 H UltraContact UC6,225/50 R 18,UltraContact UC6 ,000,3,Replacement,C,0,,01,001,10190,225.00 MM,50,18,95,H,,0,5000,7.00,200000,,3,2,28/Feb/2026 11:23:50,430836,430837,430838,105,105,125,75,75,95,9960,9970,9980,80,80,85,0,0,0,0,0,0,95,95,105,-95,-95,-105,0,0,0,0,0,0,960,970,980,1,1,1,,,400000,,400000,,,107,0.9,1.1,1.4,0,0,0,0,0,0,1.3,1.5,1.8,0.9,1,1.3,0.8,0.8,0.8,0.8,0.8,0.8,7.000014,,7.000014,200000,300000,1,1,,,50,50,60,50,50,60,996,997,998,0.6,0.6,0.8,9.8,9.8,9.8,225/50 R 18 H UltraContact UC6
184775,54,:LGO,28/Feb/2026 11:37:40,,kun huang,,1,1,1,7,,,,15456,15456,15456,0311218000,0,245/30 R 22 V MaxContact MC6,245/30 R 22,MaxContact MC6 ,000,3,Replacement,C,0,,01,001,12009,245.00 MM,30,22,92,V,,0,4000,8.50,200000,,3,2,28/Feb/2026 11:23:50,430840,430841,430842,105,105,125,75,75,95,9960,9970,9980,80,80,85,0,0,0,0,0,0,95,95,105,-95,-95,-105,0,0,0,0,0,0,960,970,980,1,1,1,,,400000,,400000,,,107,0.9,1.1,1.4,0,0,0,0,0,0,1.3,1.5,1.8,0.9,1,1.3,0.8,0.8,0.8,0.8,0.8,0.8,8.500017,,8.500017,200000,300000,3,1,,0,60,60,70,60,60,70,996,997,998,0.6,0.6,0.8,9.8,9.8,9.8,245/30 R 22 V MaxContact MC6
184776,50,:AOOP,28/Feb/2026 11:37:41,,kun huang,,1,1,1,7,,,,7802,7802,7802,0311229000,0,225/55 R 18 V ComfortContact CC6,225/55 R 18,ComfortContact CC6 ,000,3,Replacement,C,2,POLYESTER,01,001,11197,225.00 mm,55,18,98,V,,0,5000,7.00,200000,0,3,2,28/Feb/2026 11:23:50,430844,430845,430846,105,105,125,75,75,95,9960,9970,9980,80,80,85,0,0,0,0,0,0,95,95,105,-95,-95,-105,0,0,0,0,0,0,960,970,980,1,1,1,,,400000,,400000,,,107,0.9,1.1,1.4,0,0,0,0,0,0,1.3,1.5,1.8,0.9,1,1.3,0.8,0.8,0.8,0.8,0.8,0.8,7.000014,,7.000014,200000,300000,2,1,,,60,60,70,60,60,70,996,997,998,0.6,0.6,0.8,9.8,9.8,9.8,225/55 R 18 V ComfortContact CC6
186835,27,:AOOP,28/Feb/2026 12:09:33,,kun huang,,1,1,1,7,,,,94876,94876,94876,0311229053,0,225/55 R 18 V ComfortContact CC6,225/55 R 18,ComfortContact CC6 ,053,2,Chang An,C,2,POLYESTER,01,001,11197,225.00 mm,55,18,98,V,,0,5000,7.50,200000,0,2,3,28/Feb/2026 12:08:08,440124,440125,440126,100,100,125,70,70,95,0,0,0,80,80,80,0,0,0,0,0,0,50,50,95,-50,-50,-95,0,0,-75,0,0,-75,9980,9980,9980,1,1,1,,,400000,,400000,,,107,1,1,3,0,0,0,0,0,0,1,1,3,1,1,1.3,0.7,0.7,1.5,0.8,0.8,1.5,7.500015,,7.000014,200000,400000,2,3,,0,50,50,80,50,50,80,50.4,50.4,62.6,996,997,998,0.2,0.2,0.2,225/55 R 18 V ComfortContact CC6
184777,58,GAG:,28/Feb/2026 11:37:42,,kun huang,,1,1,1,7,,,,15456,15456,15456,0311238000,0,245/50 R 18 V PremiumContact 6 MO-V ,245/50 R 18,PremiumContact 6 MO-V ,000,3,Replacement,C,1,POLYESTER,01,001,12198,245.00 mm,50,18,104,V,,0,5600,7.50,200000,,3,2,28/Feb/2026 11:23:50,430848,430849,430850,105,105,125,75,75,95,9960,9970,9980,80,80,85,0,0,0,0,0,0,95,95,105,-95,-95,-105,0,0,0,0,0,0,960,970,980,1,1,1,,,400000,,400000,,,107,0.9,1.1,1.4,0,0,0,0,0,0,1.3,1.5,1.8,0.9,1,1.3,0.8,0.8,0.8,0.8,0.8,0.8,7.500015,,7.500015,200000,300000,1,1,,0,60,60,70,60,60,70,996,997,998,0.6,0.6,0.8,9.8,9.8,9.8,245/50 R 18 V PremiumContact 6 MO-V 
186836,49,GAG:,28/Feb/2026 12:09:34,,kun huang,,1,1,1,7,,,,33096,33096,33096,0311238010,0,245/50 R 18 V PremiumContact 6 MO-V,245/50 R 18,PremiumContact 6 MO-V ,010,2,Daimler,C,1,POLYESTER,01,001,12198,245.00 mm,50,18,104,V,,0,5600,7.50,200000,,3,3,28/Feb/2026 12:08:08,440128,440129,440130,120,120,135,70,70,95,45,9970,9980,80,80,80,0,0,0,0,0,0,90,95,105,10,-95,-105,0,0,0,0,0,0,9960,9970,9980,1,1,1,,,400000,,400000,,,107,1.3,1.3,1.5,0,0,0,0,0,0,1.3,1.3,1.6,1,1,1.3,1.1,1.1,1.1,0.8,0.8,1.4,7.500015,,7.500015,200000,300000,1,1,,0,60,60,75,60,60,75,996,997,998,0.5,0.5,0.7,9.8,9.8,9.8,245/50 R 18 V PremiumContact 6 MO-V
184745,25,:WPOG,28/Feb/2026 11:13:18,,kun huang,,1,1,1,7,,,,385700,385700,385700,0311268039,0,235/45 R 21 T EcoContact 6,235/45 R 21,EcoContact 6 AO ,039,2,Volkswagen PKW,C,2,POLYESTER,01,001,12817,235.00 mm,45,21,101,T,,0,5600,8.00,200000,,3,3,28/Feb/2026 11:12:29,430652,430653,430654,95,95,145,60,60,135,35,35,55,65,65,80,0,0,0,0,0,0,40,40,95,-40,-40,-95,0,0,0,0,0,0,9980,9980,9980,1,1,1,,,400000,,400000,,,107,0.8,0.8,3,0,0,0,0,0,0,0.9,0.9,3,1.1,1.1,1.4,0.8,0.8,1.1,0.6,0.6,2,8.000016,,7.500015,200000,400000,2,1,,0,50,50,100,50,50,100,996,997,998,0.4,0.4,0.6,9.8,9.8,9.8,235/45 R 21 T EcoContact 6
184778,44,:LOA,28/Feb/2026 11:37:43,,kun huang,,1,1,1,7,,,,15456,15456,15456,0311269000,0, 225/50 R 17 V UltraContact UC6,225/50 R 17,UltraContact UC6 ,000,3,Replacement,C,0,,01,001,10580,225.00 MM,50,17,94,V,,0,5000,7.00,200000,0,3,2,28/Feb/2026 11:23:50,430864,430865,430866,105,105,125,75,75,95,9960,9970,9980,80,80,85,0,0,0,0,0,0,95,95,105,-95,-95,-105,0,0,0,0,0,0,960,970,980,1,1,1,,,400000,,400000,,,107,0.9,1.1,1.4,0,0,0,0,0,0,1.3,1.5,1.8,0.9,1,1.3,0.8,0.8,0.8,0.8,0.8,0.8,7.000014,,7.000014,200000,300000,1,1,,,50,50,60,50,50,60,996,997,998,0.6,0.6,0.8,9.8,9.8,9.8, 225/50 R 17 V UltraContact UC6
188812,58,:OP,04/Aug/2026 19:19:02,,uig14886,,1,1,1,7,,,,7830,7830,7830,0311270000,0,185/60 R 15 H TechContact TC6,185/60 R 15,TechContact TC6 ,000,3,Replacement,C,1,POLYESTER,01,001,7744,185.00 mm,60,15,84,H,,0,3150,5.50,200000,0,3,2,04/Aug/2026 19:18:55,451271,451272,451273,105,105,125,75,75,95,9960,9970,9980,70,70,80,0,0,0,0,0,0,95,95,105,-95,-95,-105,0,0,0,0,0,0,960,970,980,1,1,1,,,400000,,400000,,,107,0.9,1.1,1.4,0,0,0,0,0,0,1.3,1.5,1.8,0.9,1,1.3,0.8,0.8,0.8,0.8,0.8,0.8,5.500011,,5.500011,200000,300000,1,1,,0,40,40,50,40,40,50,996,997,998,0.6,0.6,0.8,9.8,9.8,9.8,185/60 R 15 H TechContact TC6
184780,51,:LWGG,28/Feb/2026 11:37:44,,kun huang,,1,1,1,7,,,,7802,7802,7802,0311271000,0,245/45 R 19 V CONTISPORTCONTACT 5,245/45 R 19,CONTISPORTCONTACT 5 ,000,3,Replacement,C,0,,01,001,11351,245.00 MM,45,19,98,V,,0,5000,8.00,200000,0,3,2,28/Feb/2026 11:23:50,430872,430873,430874,105,105,125,75,75,95,9960,9970,9980,80,80,85,0,0,0,0,0,0,95,95,105,-95,-95,-105,0,0,0,0,0,0,960,970,980,1,1,1,,,400000,,400000,,,107,0.9,1.1,1.4,0,0,0,0,0,0,1.3,1.5,1.8,0.9,1,1.3,0.8,0.8,0.8,0.8,0.8,0.8,8.000016,,7.500015,200000,300000,1,1,,,60,60,70,60,60,70,996,997,998,0.6,0.6,0.8,9.8,9.8,9.8,245/45 R 19 V CONTISPORTCONTACT 5
184746,20,:RPRA,28/Feb/2026 11:13:19,,kun huang,,1,1,1,7,,,,385700,385700,385700,0311276039,0,255/40 R 21 T EcoContact 6  ,255/40 R 21,EcoContact 6 ,039,2,Volkswagen PKW,C,2,POLYESTER,01,001,12301,255.00 mm,40,21,102,T,,0,5000,9.00,200000,,4,4,28/Feb/2026 11:12:29,430668,430669,430670,95,95,125,60,60,95,35,35,65,65,65,80,0,0,0,0,0,0,40,40,95,-40,-40,-95,0,0,0,0,0,0,9980,9980,9980,1,1,1,,,400000,,400000,,,107,0.8,0.8,1.5,0,0,0,0,0,0,0.9,0.9,1.6,1.1,1.1,1.4,0.8,0.8,1,0.6,0.6,0.9,9.000018,,8.500017,200000,400000,3,1,,0,50,50,100,50,50,100,996,997,998,0.4,0.4,0.6,9.8,9.8,9.8,255/40 R 21 T EcoContact 6  
